state_and_ut,pop_density
Andaman & Nicobar Islands #,46
Andhra Pradesh,308
Arunachal Pradesh,17
Assam,397
Bihar,"1,102"
Chandigarh,"9,252"
Chhattisgarh,189
Dadra & Nagar Haveli,698
Daman & Diu,"2,169"
Goa,394
Gujarat,308
Haryana,573
Himachal Pradesh,123
Jammu & Kashmir,124
Jharkhand,414
Karnataka,319
Kerala,859
Lakshadweep,"2,013"
Madhya Pradesh,236
Maharashtra,365
Manipur,122
Meghalaya,132
Mizoram,52
Nagaland,119
Delhi,"11,297"
Orissa,269
Puducherry,"2,598"
Punjab,550
Rajasthan,201
Sikkim,86
Tamil Nadu,555
Tripura,350
Uttar Pradesh,828
Uttarakhand,189
West Bengal,"1,029"